09:21:19 INFO  manager.AppManager - Tests starting on Chrome
09:21:20 INFO  TestBase - Method SearchPositiveSearch is started
09:21:20 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
09:21:20 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
09:21:20 INFO  manager.WebDriverListener - Start searching element ----> By.cssSelector: div.pac-item
09:21:20 INFO  manager.WebDriverListener - Element with locator ----> By.cssSelector: div.pac-item is found
09:21:21 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
09:21:21 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
09:21:21 INFO  manager.WebDriverListener - Start searching element ----> By.id: city
09:21:21 INFO  manager.WebDriverListener - Element with locator ----> By.id: city is found
09:21:24 INFO  manager.WebDriverListener - Start searching element ----> By.id: dates
09:21:24 INFO  manager.WebDriverListener - Element with locator ----> By.id: dates is found
09:21:25 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[.=' 16 ']
09:21:25 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[.=' 16 '] is found
09:21:26 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //div[.=' 19 ']
09:21:26 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //div[.=' 19 '] is found
09:21:30 INFO  manager.WebDriverListener - Start searching element ----> By.xpath: //button[@type='submit']
09:21:30 INFO  manager.WebDriverListener - Element with locator ----> By.xpath: //button[@type='submit'] is found
09:21:30 INFO  TestBase - ==================================
